"","playerId","position.x","rec","recYds","recTds","rushYds","rushTds","fumbles","returnYds","analyst.x","player.x","player.y","position.y","team","opponent","depthChart","esbid","position","analyst.y","points"
"54","2540169","WR",3.3,39.2,0.1,0.8,0,0,2.1,18,"Robert Woods","Robert Woods","WR","LAR","IND","NULL","WOO561144","WR",18,5.58
"55","2540177","WR",0.1,2.3,0,0,0,0,0,18,"Marquess Wilson","Marquess Wilson","WR","NYJ","@BUF","NULL","WIL750668","WR",18,0.2875
"56","2540202","WR",2.4,40.1,0.4,0.1,0,0,0.6,18,"Kenny Stills","Kenny Stills","WR","MIA","TB","1","STI417540","WR",18,7.4225
"57","2540279","WR",0.6,6.3,0.1,0,0,0,22.4,18,"Nick Williams","Nick Williams","WR","ATL","@CHI","3","WIL456782","WR",18,1.3875
"58","2541388","WR",0.7,10.5,0.1,0.3,0,0,3.6,18,"Brice Butler","Brice Butler","WR","DAL","NYG","2","BUT116760","WR",18,1.9425
"59","2541785","WR",2.8,38,0.2,1.1,0,0.1,1.3,18,"Adam Thielen","Adam Thielen","WR","MIN","NO","1","THI510348","WR",18,5.76
"60","2541940","WR",0.1,1.5,0,0,0,0,7.9,18,"Rashad Ross","Rashad Ross","WR","BUF","NYJ","5","ROS672152","WR",18,0.1875
"61","2541944","WR",0.9,13.5,0,0.2,0,0,0,18,"Russell Shepard","Russell Shepard","WR","CAR","@SF","2","SHE495616","WR",18,1.7075
"62","2541966","WR",0.9,13.9,0,0,0,0.1,4.3,18,"Jaron Brown","Jaron Brown","WR","ARI","@DET","2","BRO486303","WR",18,1.4375
"63","2543457","WR",4.2,56.9,0.4,3.7,0.1,0,7.9,18,"Sammy Watkins","Sammy Watkins","WR","LAR","IND","1","WAT270480","WR",18,10.4825
"64","2543468","WR",5.6,82.3,0.5,0,0,0,0,18,"Mike Evans","Mike Evans","WR","TB","@MIA","1","EVA534309","WR",18,13.2875
"65","2543471","WR",3.7,56.6,0.5,0.6,0,0.1,1.5,18,"Kelvin Benjamin","Kelvin Benjamin","WR","CAR","@SF","1","BEN150538","WR",18,9.835
"66","2543475","WR",4.2,54.4,0.2,2,0,0,18.1,18,"Marqise Lee","Marqise Lee","WR","JAX","@HOU","1","LEE466282","WR",18,8.2
"67","2543488","WR",5.6,64.1,0.2,2.6,0,0.1,20.1,18,"Jarvis Landry","Jarvis Landry","WR","MIA","TB","1","LAN163029","WR",18,9.1725
"68","2543491","WR",1.3,19.3,0.1,0.2,0,0,5.9,18,"Paul Richardson","Paul Richardson","WR","SEA","@GB","5","RIC593564","WR",18,3.0325
"69","2543495","WR",4.4,59.5,0.6,0.4,0,0,1.4,18,"Davante Adams","Davante Adams","WR","GB","SEA","2","ADA218591","WR",18,11.0775
"70","2543496","WR",5.9,80.8,0.6,0.5,0,0,5.8,18,"Odell Beckham","Odell Beckham","WR","NYG","@DAL","1","BEC573252","WR",18,13.75
"71","2543498","WR",5.2,67.4,0.4,1.2,0,0,2.2,18,"Brandin Cooks","Brandin Cooks","WR","NE","KC","1","COO299382","WR",18,10.945
"72","2543500","WR",3.7,46.1,0.2,0.1,0,0,0,18,"Jordan Matthews","Jordan Matthews","WR","BUF","NYJ","1","MAT569663","WR",18,6.9725
"73","2543509","WR",4.6,66.9,0.5,0,0,0,0,18,"Allen Robinson","Allen Robinson","WR","JAX","@HOU","1","ROB365982","WR",18,11.3625
"74","2543572","WR",3.9,50.2,0.4,2.6,0,0,1.6,18,"Martavis Bryant","Martavis Bryant","WR","PIT","@CLE","NULL","BRY499889","WR",18,8.935
"75","2543590","WR",0.6,6.4,0,0,0,0,9.5,18,"Cody Latimer","Cody Latimer","WR","DEN","LAC","2","LAT362049","WR",18,0.8
"76","2543614","WR",4.6,52.2,0.7,0.1,0,0,2,18,"Donte Moncrief","Donte Moncrief","WR","IND","@LA","NULL","MON117004","WR",18,10.735
"77","2543619","WR",0.7,9.7,0,0,0,0,9.2,18,"Walt Powell","Walt Powell","WR","BUF","NYJ","4","POW570795","WR",18,1.2125
"78","2543638","WR",0.6,3.6,0,1.9,0,0,22.2,18,"DeAnthony Thomas","DeAnthony Thomas","WR","KC","@NE","2","THO095665","WR",18,0.64
"79","2543641","WR",0,0.3,0,0,0,0,0,18,"Devin Street","Devin Street","WR","HOU","JAX","4","STR305294","WR",18,0.0375
"80","2543746","WR",1.2,11.8,0,0.6,0,0,34.2,18,"Josh Huff","Josh Huff","WR","TB","@MIA","4","HUF194666","WR",18,1.535
"81","2543750","WR",1.7,14.4,0.1,8.7,0.1,0,5.9,18,"Jeff Janis","Jeff Janis","WR","GB","SEA","3","JAN413854","WR",18,3.87
"82","2543759","WR",0.7,6.5,0,0,0,0,1.9,18,"Ryan Grant","Ryan Grant","WR","WAS","PHI","2","GRA498062","WR",18,0.8125
"83","2543774","WR",0.1,1,0,0,0,0,0,18,"Jared Abbrederis","Jared Abbrederis","WR","DET","ARI","3","ABB650964","WR",18,0.125
"84","2543836","WR",0.5,7.2,0,0,0,0,10.8,18,"T.J. Jones","T.J. Jones","WR","DET","ARI","2","JON731255","WR",18,0.9
"85","2543847","WR",3,41,0.4,0.7,0,0,5,18,"John Brown","John Brown","WR","ARI","@DET","1","BRO494712","WR",18,7.595
"86","2550162","WR",0.3,2.9,0,0,0,0,0,18,"James Wright","James Wright","WR","CLE","PIT","3","WRI346086","WR",18,0.3625
"87","2550163","WR",0.9,8.8,0,1.4,0,0,6.3,18,"Michael Campanaro","Michael Campanaro","WR","BAL","@CIN","2","CAM169006","WR",18,1.24
"88","2550183","WR",0.2,3.2,0,0,0,0,4.7,18,"Jeremy Butler","Jeremy Butler","WR","BUF","NYJ","4","BUT279308","WR",18,0.4
"89","2550198","WR",0.9,10.7,0.1,0.1,0,0,2.1,18,"Bennie Fowler","Bennie Fowler","WR","DEN","LAC","2","FOW140514","WR",18,1.9475
"90","2550223","WR",0.4,6.7,0,0,0,0,0,18,"Freddie Martino","Freddie Martino","WR","TB","@MIA","2","MAR789763","WR",18,0.8375
"91","2550256","WR",4.9,62.9,0.2,0,0,0,0,18,"Willie Snead","Willie Snead","WR","NO","@MIN","1","SNE115447","WR",18,9.0625
"92","2550272","WR",2.2,21.7,0.2,1.7,0,0,0.1,18,"Albert Wilson","Albert Wilson","WR","KC","@NE","2","WIL648299","WR",18,4.0825
"93","2550328","WR",1.6,21.3,0.1,0,0,0,0,18,"Brandon Coleman","Brandon Coleman","WR","NO","@MIN","2","COL222062","WR",18,3.2625
"94","2550353","WR",2.5,31.1,0.1,0.3,0,0,7.8,18,"Allen Hurns","Allen Hurns","WR","JAX","@HOU","2","HUR436342","WR",18,4.5175
"95","2550459","WR",1.3,10,0,0.6,0,0.1,12.4,18,"Javontee Herndon","Javontee Herndon","WR","DAL","NYG","NULL","HER391702","WR",18,1.01
"96","2550597","WR",2.6,31.7,0.3,0,0,0,1.6,18,"Seth Roberts","Seth Roberts","WR","OAK","@TEN","2","ROB240370","WR",18,5.7625
"97","2550617","WR",2.9,46.5,0.3,1.9,0,0,0.5,18,"Taylor Gabriel","Taylor Gabriel","WR","ATL","@CHI","2","GAB627060","WR",18,7.8025
"98","2552409","WR",3.6,54.8,0.3,0,0,0,0,18,"DeVante Parker","DeVante Parker","WR","MIA","TB","1","PAR226609","WR",18,8.65
"99","2552415","WR",4.5,62.2,0.4,-0.4,0,0,13.7,18,"Jamison Crowder","Jamison Crowder","WR","WAS","PHI","1","CRO697273","WR",18,10.135
"100","2552418","WR",1.5,16.1,0.2,0,0,0,0.8,18,"Justin Hardy","Justin Hardy","WR","ATL","@CHI","2","HAR111877","WR",18,3.2125
"101","2552424","WR",2,28.2,0.1,0.7,0,0,0.8,18,"Phillip Dorsett","Phillip Dorsett","WR","IND","@LA","NULL","DOR488199","WR",18,4.195
"102","2552425","WR",0.7,5.2,0,0,0,0.1,15.3,18,"Rashad Greene","Rashad Greene","WR","JAX","@HOU","3","GRE031322","WR",18,0.35
"103","2552428","WR",0,0.1,0,0,0,0,15.6,18,"Tre McBride","Tre McBride","WR","TEN","OAK","2","MCB743359","WR",18,0.0125
"104","2552430","WR",3,43.6,0.2,2.3,0,0,50.8,18,"Tyler Lockett","Tyler Lockett","WR","SEA","@GB","6","LOC420915","WR",18,6.88
"105","2552458","WR",2.1,31.6,0.2,1.4,0,0,7.4,18,"Devin Funchess","Devin Funchess","WR","CAR","@SF","1","FUN405541","WR",18,5.29
"106","2552463","WR",1.2,11.2,0,0,0,0,3.2,18,"Jaelen Strong","Jaelen Strong","WR","HOU","JAX","2","STR627834","WR",18,1.4
"107","2552470","WR",1.4,26,0,0.8,0,0,11.5,18,"Sammie Coates","Sammie Coates","WR","PIT","@CLE","2","COA667430","WR",18,3.33
"108","2552487","WR",5.6,81.5,0.4,-0.1,0,0,0.6,18,"Amari Cooper","Amari Cooper","WR","OAK","@TEN","1","COO487703","WR",18,12.5775
"109","2552597","WR",2.9,40.8,0.1,0.1,0,0,0,18,"Breshad Perriman","Breshad Perriman","WR","BAL","@CIN","1","PER440170","WR",18,5.71
"110","2552600","WR",2,21.9,0.1,0.8,0,0,8,18,"Nelson Agholor","Nelson Agholor","WR","PHI","@WAS","1","AGH474619","WR",18,3.4175
"111","2552608","WR",5,54.1,0.3,0.9,0,0,2.3,18,"Stefon Diggs","Stefon Diggs","WR","MIN","NO","1","DIG218895","WR",18,8.6525
"112","2552627","WR",0.1,2,0,0,0,0,0,18,"DeAndre Smelter","DeAndre Smelter","WR","SF","CAR","4","SME387261","WR",18,0.25
"113","2552652","WR",2.5,28.6,0.1,1.6,0,0,2.2,18,"Chris Conley","Chris Conley","WR","KC","@NE","1","CON236839","WR",18,4.335
"114","2552656","WR",2.3,37.2,0.3,1.8,0.1,0,2,18,"J.J. Nelson","J.J. Nelson","WR","ARI","@DET","2","NEL488051","WR",18,7.23
"115","2553432","WR",3.4,40.9,0.1,0.4,0,0,3.7,18,"Kevin White","Kevin White","WR","CHI","ATL","NULL","WHI315610","WR",18,5.7525
"116","2553467","WR",0,0.5,0,0.1,0,0,55.3,18,"Quan Bray","Quan Bray","WR","IND","@LA","NULL","BRA778039","WR",18,0.0725
"117","2553568","WR",4.2,61.4,0.4,0.3,0,0,0.9,18,"Cameron Meredith","Cameron Meredith","WR","CHI","ATL","NULL","MER114236","WR",18,10.105
"118","2553606","WR",1,10.5,0.1,0,0,0.1,3,18,"Jordan Taylor","Jordan Taylor","WR","DEN","LAC","3","TAY439186","WR",18,1.6125
"119","2553621","WR",0.1,0.6,0,1.7,0,0,21.2,18,"Lucky Whitehead","Lucky Whitehead","WR","NYJ","@BUF","3","WHI623090","WR",18,0.245
"120","2553737","WR",3.6,40.9,0.1,0.3,0,0.1,2.2,18,"Eli Rogers","Eli Rogers","WR","PIT","@CLE","2","ROG291905","WR",18,5.4425
"121","2553876","WR",0.3,3.2,0,0,0,0,4.1,18,"Donteea Dye","Donteea Dye","WR","TB","@MIA","3","DYE190770","WR",18,0.4
"122","2553895","WR",2.8,32.7,0.1,0.9,0,0,12.5,18,"Adam Humphries","Adam Humphries","WR","TB","@MIA","2","HUM721507","WR",18,4.7775
"123","2553913","WR",3.4,50.7,0.3,0,0,0,0.5,18,"Tyrell Williams","Tyrell Williams","WR","LAC","@DEN","8","WIL547641","WR",18,8.1375
"124","2555209","WR",0.3,1.8,0,1,0,0,15,18,"Chris Moore","Chris Moore","WR","BAL","@CIN","3","MOO226734","WR",18,0.325
"125","2555214","WR",0.5,4.9,0,0.4,0,0,9.7,18,"Laquon Treadwell","Laquon Treadwell","WR","MIN","NO","2","TRE425415","WR",18,0.6525
"126","2555215","WR",0.2,1.6,0,0,0,0,3.5,18,"Leonte Carroo","Leonte Carroo","WR","MIA","TB","2","CAR559411","WR",18,0.2
"127","2555216","WR",1.6,19.7,0.2,0.2,0,0,0.8,18,"Malcolm Mitchell","Malcolm Mitchell","WR","NE","KC","7","MIT502824","WR",18,3.6825
"128","2555295","WR",3.7,41.5,0.4,0.4,0,0,0,18,"Sterling Shepard","Sterling Shepard","WR","NYG","@DAL","1","SHE495754","WR",18,7.6275
"129","2555317","WR",2,23.7,0.1,0.1,0,0,1.5,18,"Tajae Sharpe","Tajae Sharpe","WR","TEN","OAK","7","SHA495155","WR",18,3.5725
"130","2555331","WR",1,11,0,0,0,0,1.3,18,"Cody Core","Cody Core","WR","CIN","BAL","2","COR258226","WR",18,1.375
"131","2555333","WR",3.2,35.5,0.3,0.8,0,0,3.5,18,"Corey Coleman","Corey Coleman","WR","CLE","PIT","1","COL232728","WR",18,6.3175
"132","2555343","WR",3.3,40.1,0.1,0,0,0.1,13.2,18,"Josh Doctson","Josh Doctson","WR","WAS","PHI","NULL","DOC662393","WR",18,5.3125
"133","2555346","WR",3,36.8,0.1,0.1,0,0,11.7,18,"Will Fuller","Will Fuller","WR","HOU","JAX","1","FUL503598","WR",18,5.21
"134","2555348","WR",1.3,10.9,0,0,0,0,5.4,18,"Braxton Miller","Braxton Miller","WR","HOU","JAX","2","MIL146472","WR",18,1.3625
"135","2555356","WR",0,0.3,0,0,0,0,33.6,18,"Keenan Reynolds","Keenan Reynolds","WR","BAL","@CIN","4","REY406954","WR",18,0.0375
"136","2555362","WR",0.4,4.7,0,0,0,0.1,0.6,18,"Aaron Burbridge","Aaron Burbridge","WR","SF","CAR","5","BUR012358","WR",18,0.2875
"137","2555370","WR",0,0.3,0,0,0,0,13.5,18,"Jordan Payton","Jordan Payton","WR","CLE","PIT","NULL","PAY611897","WR",18,0.0375
"138","2555413","WR",0,0,0,0,0,0,13.9,18,"Trevor Davis","Trevor Davis","WR","GB","SEA","3","DAV778929","WR",18,0
"139","2555419","WR",0.9,7.1,0,0,0,0,23.1,18,"Pharoh Cooper","Pharoh Cooper","WR","LAR","IND","1","COO679646","WR",18,0.8875
"140","2555466","WR",3.1,35.9,0,2.5,0,0,0,18,"Tyler Boyd","Tyler Boyd","WR","CIN","BAL","2","BOY378353","WR",18,4.7375
"141","2555468","WR",0.5,6.3,0,0,0,0,9.9,18,"Rashard Higgins","Rashard Higgins","WR","CLE","PIT","3","HIG322107","WR",18,0.7875
"142","2555473","WR",1.8,20.4,0.1,-0.1,0,0,7,18,"Ricardo Louis","Ricardo Louis","WR","CLE","PIT","2","LOU665833","WR",18,3.14
"143","2555477","WR",2.4,27.9,0,0,0,0,0.6,18,"Charone Peake","Charone Peake","WR","NYJ","@BUF","NULL","PEA150300","WR",18,3.4875
"144","2555478","WR",0.7,6.8,0,0,0,0,11.4,18,"Demarcus Robinson","Demarcus Robinson","WR","KC","@NE","3","ROB399065","WR",18,0.85
"145","2556190","WR",0,0,0,0.1,0,0,32.7,18,"Jakeem Grant","Jakeem Grant","WR","MIA","TB","2","GRA443889","WR",18,0.01
"146","2556214","WR",4.4,46.5,0.3,11.2,0.1,0.1,45.8,18,"Tyreek Hill","Tyreek Hill","WR","KC","@NE","1","HIL628694","WR",18,9.0325
"147","2556370","WR",5.2,70.9,0.6,0.5,0,0,0.1,18,"Michael Thomas","Michael Thomas","WR","NO","@MIN","2","THO308912","WR",18,12.5125
"148","2556396","WR",0.7,9.7,0,0,0,0,20.2,18,"Chester Rogers","Chester Rogers","WR","IND","@LA","NULL","ROG146742","WR",18,1.2125
"149","2556404","WR",0.3,2.9,0,0,0,0,1.1,18,"Maurice Harris","Maurice Harris","WR","WAS","PHI","2","HAR485163","WR",18,0.3625
"150","2556462","WR",4,60.3,0.4,1.7,0,0,0,18,"Robby Anderson","Robby Anderson","WR","NYJ","@BUF","NULL","AND460305","WR",18,10.1075
"151","2556473","WR",0.9,12.3,0,0,0,0,34.9,18,"Jace Billingsley","Jace Billingsley","WR","DET","ARI","NULL","BIL471428","WR",18,1.5375
"152","2556519","WR",0.4,5.3,0,0,0,0,54.5,18,"Alex Erickson","Alex Erickson","WR","CIN","BAL","NULL","ERI090697","WR",18,0.6625
"153","2556569","WR",0,0,0,-0.4,0,0,15.2,18,"Andy Jones","Andy Jones","WR","DAL","NYG","NULL","JON037185","WR",18,-0.04
"154","2556592","WR",0.4,5.1,0.1,0,0,0,5.1,18,"Roger Lewis","Roger Lewis","WR","NYG","@DAL","2","LEW642806","WR",18,1.2375
"155","2556612","WR",0.5,8.3,0.1,0,0,0,0,18,"Tanner McEvoy","Tanner McEvoy","WR","SEA","@GB","4","MCE657259","WR",18,1.6375
